Ind1	Ind2	R	LnL(R)		U	HS	FS	PO
ESSR19	ESSR18	U	-59.66		-	1.12	5.05	9999
ESSR20 	ESSR18 	HS	-57.54		0.28	-	2.31	9999
ESSR20 	ESSR19 	PO	-61.21		2.02	0.58	2.72	-
ESSR01 	ESSR18 	U	-56.55		-	4.50	9.84	9999
ESSR01 	ESSR19 	U	-61.96		-	2.01	4.51	9999
ESSR01 	ESSR20 	U	-60.13		-	2.88	7.49	9999
ESSR02 	ESSR18 	HS	-54.55		0.07	-	2.39	9999
ESSR02 	ESSR19 	HS	-57.93		2.10	-	1.84	9999
ESSR02 	ESSR20 	HS	-57.08		1.11	-	0.48	9999
ESSR02 	ESSR01 	U	-56.92		-	0.22	3.55	9999
ESSR03 	ESSR18 	U	-57.94		-	0.63	3.97	9999
ESSR03 	ESSR19 	U	-63.36		-	0.58	3.36	9999
ESSR03 	ESSR20 	U	-61.52		-	1.48	5.52	9999
ESSR03 	ESSR01 	U	-60.24		-	2.17	6.24	9999
ESSR03 	ESSR02 	U	-58.31		-	1.69	3.72	9999
ESSR04 	ESSR18 	HS	-57.85		0.22	-	2.35	9999
ESSR04 	ESSR19 	U	-63.49		-	2.16	6.10	9999
ESSR04 	ESSR20 	U	-61.65		-	3.07	7.74	9999
ESSR04 	ESSR01 	U	-60.38		-	2.30	5.66	9999
ESSR04 	ESSR02 	U	-58.44		-	1.71	5.08	9999
ESSR04 	ESSR03 	HS	-60.11		1.66	-	2.33	9999
ESSR05 	ESSR18 	U	-51.81		-	0.86	2.21	9999
ESSR05 	ESSR19 	U	-56.31		-	0.59	3.95	9999
ESSR05 	ESSR20 	U	-55.39		-	1.58	5.54	9999
ESSR05 	ESSR01 	U	-54.11		-	1.09	3.98	9999
ESSR05 	ESSR02 	U	-52.18		-	0.44	3.75	9999
ESSR05 	ESSR03 	U	-55.50		-	1.34	4.90	9999
ESSR05 	ESSR04 	U	-55.63		-	0.41	2.00	9999
ESSR06 	ESSR18 	U	-62.78		-	2.25	6.96	9999
ESSR06 	ESSR19 	U	-68.20		-	3.45	8.16	9999
ESSR06 	ESSR20 	U	-66.36		-	3.48	8.72	9999
ESSR06 	ESSR01 	U	-65.09		-	1.38	4.95	9999
