ID	ESSE22	ESSE23	ESSH24	ESSH25	ESSH26	ESSH27	ESSH28	ESSE25	ESSE26	ESSE27	ESSR24	ESSR25	ESSR26	ESSR27	ESSR28
ESSE22	1.0000														
ESSE23	0.2239	1.0000													
ESSH24	0.0000	0.0000	1.0000												
ESSH25	0.0435	0.0000	0.0833	1.0000											
ESSH26	0.0000	0.0000	0.1667	0.1154	1.0000										
ESSH27	0.0000	0.0000	0.2500	0.0769	0.2286	1.0000									
ESSH28	0.0789	0.0000	0.0833	0.0769	0.0244	0.0976	1.0000								
ESSE25	0.2632	0.6000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000							
ESSE26	0.3571	0.7333	0.0000	0.0000	0.0000	0.0000	0.0000	0.5333	1.0000						
ESSE27	0.3182	0.4091	0.0000	0.0000	0.0000	0.0435	0.1304	0.5000	0.6000	1.0000					
ESSR24	0.0000	0.0000	0.0000	0.0000	0.0000	0.0606	0.0789	0.0000	0.0000	0.0455	1.0000				
ESSR25	0.0149	0.1176	0.0000	0.0000	0.0000	0.1143	0.0882	0.1053	0.2143	0.0455	0.5143	1.0000			
ESSR26	0.0000	0.0185	0.0000	0.0000	0.0000	0.0727	0.1316	0.0000	0.0000	0.1818	0.4545	0.6571	1.0000		
ESSR27	0.0000	0.0169	0.0000	0.0000	0.0000	0.0667	0.0526	0.0000	0.0000	0.0909	0.5167	0.6857	0.5273	1.0000	
ESSR28	0.0000	0.0000	0.0000	0.0000	0.0000	0.1600	0.1667	0.0000	0.0000	0.0455	0.5600	0.5600	0.6400	0.7600	1.0000
